"tweet_id","text","is_myth","myth_score","is_myth_supports","myth_supports_score"
"1235308100208472064","The science behind alcohol based #handsanitiser

#Covid_19 is a #coronavirus with a viral envelope made of proteins. These proteins can be destroyed by exposure to ethanol (but it must be minimum 60% strength)

Helpful infographic from @USER01 <em>URL01 Removed</em>","no","1.0","no","1.0"
"1235623815532687361","Managed to grab the last two packets of disinfectant cleansing wipes at M&amp;S London Bridge &amp; they’re now on eBay for a reasonable price. 
#coronavirus","no","1.0","no","1.0"
"1234838689919983616","@USER01 Thanks for the article. Airlines should use the disinfectant “fog” at all times like @USER02 does on inbound flights to USA #airlines #CoronavirusOutbreak","no","1.0","no","1.0"
"1235994837834510336","To reduce your risk from the new #coronavirus infection:

-clean your hands regularly
-don't touch your face after touching contaminated surfaces
-clean surfaces regularly with disinfectant
-educate yourself about COVID-19 <em>URL01 Removed</em>","no","1.0","no","1.0"
"1236702596259352577","Meanwhile in the bleach aisle... Plus side of all the creeping crud is that some citizens are now learning the fine art of handwashing, covering sneezes/coughs, and disinfecting surfaces. Go, people! :microbe: #Coronavirus #COVID19 #flu <em>URL01 Removed</em>","no","1.0","no","1.0"
"1224396673360842754","Panic causes madness. How can spraying with disinfectant help? #corononavirus #panic #CoronavirusOutbreak #FactsMatter <em>URL01 Removed</em>","no","1.0","no","1.0"
"1237123312175759360","#coronavirus - also - #inspiring  ""If it smells like bleach when you get on a bus, it's not bad cologne.""
[COOL ARTICLE] <em>URL01 Removed</em> <em>URL02 Removed</em>","no","1.0","no","1.0"
"1233320765577203712","Una hear say hand sanitizers and disinfectant wipes don finish for the whole of Lagos State :drooling_face::face_with_open_mouth:
#coronavirusnigeria 
#CoronavirusOutbreak 
#CoronaVirusUpdates","no","0.6666666666666666","no","0.6666666666666666"
"1238136248947970049","I've sourced masks, gloves, disinfectant wipes, isopropyl alcohol and zinc for the whole family. #Covid_19 ready. :flexed_biceps:","no","1.0","no","1.0"
"1238892182913703936","Has your city commenced disinfectant spray operations? #COVID19toronto #COVIDー19 #coronaUK #coronavirus #DISINFECTYOURSURROUNDINGS #Disinfection #Montreal #Toronto #Ottawa #Canada #USA #NYC #LA #california #miami #Europe #UK #Greece #StaySafe <em>URL01 Removed</em>","no","1.0","no","1.0"
"1226419741079683075","@USER01 It is still not clear what Chinese govt is spraying to curb the infection. Some claim is is a disinfectant made of water mixed with 75% alcohol. But clearly there is no concrete answer to this question. #Coronavirus #DigitalIndia <em>URL01 Removed</em>","no","1.0","no","1.0"
"1227659043474411520","2 X Clorox Clean-Up Cleaner Spray with Bleach and Refill Combo, 32 Ounce Spray Bottle + 180 Ounce Refill <em>URL01 Removed</em> #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #corona #virus #CoronavirusOutbreak #coronaviruswuhan  #outbreak #2019nCoV #COVID19","no","1.0","no","1.0"
