"tweet_id","text","is_myth","myth_score","is_myth_supports","myth_supports_score"
"1253682732191961096","@USER01 Last night you advocated injecting disinfectant as a cure. 
You also said using uv lights (which can cause cancer) could be a cure.
Why don't you come out and say that people shouldn't do that?
#disinfectant #Covid_19 #TrumpPressConference","yes","1.0","no","1.0"
"1253452871254892544","Great finding Summer heat sunlights uv kill #coronavirus announced by @USER01 scientists team <em>URL01 Removed</em>","yes","1.0","yes","1.0"
"1253809629257236483","@USER01 is nuts, proposing  some men in Black uv scanning shit and injecting his fellow citizens with household disinfectant- well 2020 is shaping up to be a great year for the Americans. If Covid doesn’t do the trick the bleach will :face_with_tears_of_joy: #disinfectant #Trump #Covid_19 <em>URL01 Removed</em>","yes","1.0","no","1.0"
"1253249420759650304","[:newspaper:#Press] The ultra-violet light technology used to kill the invasive species found in ships’ ballast water tanks can be used to protect seafarers, health workers, and first-responders from picking up the #coronavirus from surfaces @USER01 &gt; <em>URL01 Removed</em>","yes","1.0","yes","1.0"
"1253671101361803264","@USER01 @USER02 What's something is her being silent after Trump suggests they should look into putting uv light or bleach in ur body to kill #covid19.","yes","1.0","unsure","0.6666666666666666"
"1254212113318514689","@USER01 Our president said the people of this country should drink/eat bleach, hand sanitizer, and use a uv light to clear the #coronavirus  I feel I'll, and disturbed! <em>URL01 Removed</em>","yes","1.0","no","1.0"
"1253669989124640770","We need to stop worrying about #ventilators and #PPE and #lockdown. Sunbeds work by exposing the skin to ultra-violet (UV) radiation, similar to that found in sunshine and the experts believe that heat and light has a potent impact on #coronavirus. Dont waste time just get a tan!","yes","1.0","yes","1.0"
"1254095489554952193","@USER01 Maybe not but you did say that you could inject disinfectant into your body and uv light. And you were not being sarcastic because nobody was laughing including you so let's not insult people's intelligence by saying it was a sarcastic remark to the media #COVID19 #IdiotTrump","yes","1.0","no","1.0"
"1253470849702801414","If ultra violet electromagnetic radiation can cure #coronavirus then maybe 5G can too.
Oh no wait. :thinking_face::clown_face:","yes","1.0","no","0.6666666666666666"
"1254376170264711169","Prez Trump got intuitive proof that ultra violet light fries up the #coronavirus. That's why he's gonna again invoke the #defenseproductionact on GM. Along with ventilators, they will be manufacturin' tannin' booths. Forced diversification fer the good of America.","yes","0.6666666666666666","yes","0.6666666666666666"
"1253814102952157197","Y'all our president is a fucking moron, uv light? Injecting Clorox??? Fuck outta here:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::rolling_on_the_floor_laughing: #disinfectant #Trump #Covid_19","yes","1.0","no","1.0"
"1253631075504570368","@USER01 
President #Trump suggested experimenting with uv light and #DisinfectantInjection to cure #covid19... outrageous idiotic crazy... and dangerous
Does #vernonjones condemn the president's incompetence and irresponsibility...is he fit to lead the US 
#georgia","yes","1.0","no","1.0"
"1253499730333700097","@USER01 @USER02 Not that I've heard of yet, but the Dick-tater south of the border suggested that they could look at injecting disinfectant to cure #COVID19 or figure out how to use ultra-violet light internally. 
Wait for it.  The poison control hotline calls should be starting any time now.","yes","1.0","no","0.6666666666666666"
